image_name,tree_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,canopy_area_px,canopy_width_px,canopy_height_px,canopy_diameter_px,canopy_compactness,canopy_circularity,canopy_asymmetry_score,canopy_gap_ratio,canopy_edge_roughness,canopy_irregularity,rgb_green_ratio,rgb_brightness_mean,rgb_brightness_std,distance_to_road_px,inverse_distance_to_road,road_overlap_ratio,road_buffer_overlap_ratio,normalized_canopy_size,inspection_priority_score,inspection_priority_level,candidate_source
seq22_000000.png,11,1375,1318,1584,1502,28246,209,184,209,0.7345,0.5994,0.0207,0.0,0.1316,0.1997,0.4453,91.22,25.7,1.0,0.996,0.0,0.1527,0.0034,0.3619,Medium,sam
seq22_000000.png,12,1300,1461,1535,1671,34085,235,210,235,0.6907,0.5934,0.0238,0.0,0.1335,0.2027,0.4547,77.83,29.69,1.0,0.996,0.0,0.1195,0.0041,0.3561,Medium,sam
seq22_000000.png,13,1375,1160,1607,1502,55732,232,342,342,0.7024,0.5262,0.0028,0.0,0.1572,0.2367,0.4539,92.57,26.83,1.0,0.996,0.0,0.1338,0.0067,0.3624,Medium,sam
seq22_000000.png,14,1400,1160,1610,1333,26727,210,173,210,0.7357,0.5885,0.0204,0.0,0.1351,0.2051,0.463,93.82,27.83,1.0,0.996,0.0,0.1186,0.0032,0.3558,Medium,sam
seq22_000000.png,15,2469,1074,2724,1273,37615,255,199,255,0.7413,0.6013,0.0132,0.0,0.131,0.1988,0.4446,69.57,19.86,1.0,0.996,0.0,0.2824,0.0045,0.3871,Medium,sam
seq22_000000.png,16,1719,302,1830,455,11294,111,153,153,0.665,0.5551,0.0197,0.0,0.1465,0.2219,0.4261,89.51,22.51,1.0,0.996,0.0,0.5096,0.0014,0.4362,Medium,sam
seq22_000000.png,17,2425,827,2619,973,19849,194,146,194,0.7008,0.5844,0.0105,0.0,0.1364,0.2072,0.4303,77.73,18.57,1.0,0.996,0.0,0.397,0.0024,0.4107,Medium,sam
seq22_000000.png,18,1791,988,1890,1100,8327,99,112,112,0.751,0.6413,0.0324,0.0,0.1189,0.1791,0.4188,75.42,22.36,1.0,0.996,0.0,0.43,0.001,0.4151,Medium,sam
seq22_000000.png,19,1055,2055,1187,2160,11287,132,105,132,0.8144,0.6468,0.0318,0.0,0.1173,0.1765,0.4882,68.95,21.51,134.0,0.5851,0.0,0.0,0.0014,0.2054,Low,sam
seq22_000000.png,20,2657,865,2728,920,3092,71,55,71,0.7918,0.6925,0.0165,0.0,0.105,0.1545,0.4106,102.6,26.52,1.0,0.996,0.0,0.9968,0.0004,0.523,Medium,sam
seq22_000000.png,21,3069,1410,3208,1525,11469,139,115,139,0.7175,0.5904,0.0233,0.0,0.1345,0.2042,0.4857,82.44,26.78,73.94,0.744,0.0,0.0,0.0014,0.2564,Low,sam
seq22_000000.png,22,1689,130,1764,242,5203,75,112,112,0.6194,0.4471,0.0258,0.0,0.1918,0.2787,0.3927,94.2,32.99,92.4,0.691,0.0,0.0,0.0006,0.2518,Low,sam
seq22_000000.png,23,2282,0,2364,80,3859,82,80,82,0.5883,0.4477,0.0049,0.0,0.1915,0.2784,0.4109,108.88,24.05,1.0,0.996,0.0,0.793,0.0005,0.4997,Medium,sam
seq22_000000.png,24,2610,1461,2814,1665,31033,204,204,204,0.7457,0.6371,0.0276,0.0,0.1201,0.1812,0.438,73.1,21.27,1.0,0.996,0.0,0.1023,0.0037,0.3498,Medium,sam
seq24_000000.png,1,1933,617,2076,681,7035,143,64,143,0.7687,0.5418,0.0125,0.0,0.1513,0.2287,0.3718,89.4,17.72,156.19,0.5354,0.0,0.0,0.0008,0.1963,Low,sam
seq24_000000.png,2,1920,711,2162,962,44304,242,251,251,0.7294,0.5715,0.0433,0.0,0.1408,0.2136,0.3857,76.22,13.66,205.76,0.4391,0.0,0.0,0.0053,0.1689,Low,sam
seq25_000000.png,1,3264,294,3339,377,5149,75,83,83,0.8271,0.7065,0.012,0.0,0.1015,0.1478,0.3512,104.82,17.93,153.83,0.5405,0.0,0.0,0.0006,0.1856,Low,sam
seq25_000000.png,2,1611,1989,1858,2160,33125,247,171,247,0.7843,0.5873,0.0194,0.0,0.1355,0.2057,0.4746,83.65,41.25,1.0,0.996,0.0,0.0499,0.004,0.3422,Medium,sam
seq25_000000.png,3,2451,1284,2631,1468,21980,180,184,184,0.6636,0.5891,0.0162,0.0,0.1349,0.2048,0.4113,76.14,34.66,1.0,0.996,0.0,0.3061,0.0026,0.3928,Medium,sam
seq25_000000.png,4,2443,1198,2526,1296,6103,83,98,98,0.7503,0.6369,0.0079,0.0,0.1202,0.1813,0.3909,116.08,42.95,1.0,0.996,0.0,0.3978,0.0007,0.4065,Medium,sam
seq25_000000.png,5,2207,1536,2394,1723,25501,187,187,187,0.7292,0.5949,0.0203,0.0,0.133,0.2019,0.4324,82.73,39.68,1.0,0.996,0.0,0.3498,0.0031,0.4015,Medium,sam
seq25_000000.png,6,3141,1498,3362,1674,25859,221,176,221,0.6648,0.528,0.0314,0.0,0.1565,0.2358,0.4244,89.18,33.95,1.0,0.996,0.0,0.2198,0.0031,0.3817,Medium,sam
seq25_000000.png,7,2349,1435,2503,1577,15027,154,142,154,0.6872,0.5959,0.0316,0.0,0.1327,0.2015,0.4489,84.46,43.25,1.0,0.996,0.0,0.4533,0.0018,0.4231,Medium,sam
seq25_000000.png,8,1896,1570,2068,1742,18883,172,172,172,0.6383,0.5596,0.0115,0.0,0.1449,0.2196,0.4209,103.0,49.35,1.0,0.996,0.0,0.2615,0.0023,0.3855,Medium,sam
seq25_000000.png,9,3545,1056,3778,1412,55444,233,356,356,0.6684,0.5275,0.0084,0.0,0.1567,0.236,0.4051,101.39,33.49,1.0,0.996,0.0,0.214,0.0067,0.3788,Medium,sam
seq25_000000.png,10,3201,475,3395,576,12675,194,101,194,0.6469,0.5022,0.0537,0.0,0.1668,0.2492,0.3715,100.45,25.21,2.2,0.9913,0.0,0.1597,0.0015,0.3723,Medium,sam
seq25_000000.png,11,3545,902,3816,1408,76486,271,506,506,0.5578,0.3986,0.0478,0.0,0.2179,0.3059,0.4065,106.9,34.21,1.0,0.996,0.0,0.2431,0.0092,0.3995,Medium,sam
seq25_000000.png,12,1603,1993,1940,2160,40304,337,167,337,0.7161,0.4894,0.0476,0.0,0.1723,0.2559,0.4568,87.22,42.2,1.0,0.996,0.0,0.1305,0.0049,0.3688,Medium,sam
seq25_000000.png,13,2286,1305,2394,1423,8848,108,118,118,0.6943,0.5974,0.0154,0.0,0.1322,0.2007,0.4098,99.55,48.7,2.0,0.992,0.0,0.2362,0.0011,0.3766,Medium,sam
seq25_000000.png,14,2908,2015,3163,2160,28955,255,145,255,0.7831,0.6078,0.0333,0.0,0.1289,0.1956,0.4258,80.45,29.45,1.0,0.996,0.0,0.2327,0.0035,0.3785,Medium,sam
seq25_000000.png,15,3530,1566,3591,1641,3755,61,75,75,0.8208,0.631,0.0136,0.0,0.1219,0.1842,0.3957,90.86,39.3,1.0,0.996,0.0,0.4772,0.0005,0.4233,Medium,sam
seq25_000000.png,16,3335,1915,3583,2158,40186,248,243,248,0.6668,0.5448,0.0477,0.0,0.1502,0.2272,0.4164,101.54,38.55,1.0,0.996,0.0,0.2382,0.0048,0.386,Medium,sam
seq25_000000.png,17,2113,1438,2233,1555,10034,120,117,120,0.7147,0.6356,0.0193,0.0,0.1205,0.1819,0.4001,127.58,44.97,1.0,0.996,0.0,0.2469,0.0012,0.3776,Medium,sam
seq25_000000.png,18,1479,1715,1629,1843,15287,150,128,150,0.7962,0.6815,0.0141,0.0,0.1078,0.1597,0.4451,81.81,43.61,11.0,0.957,0.0,0.0338,0.0018,0.3195,Low,sam
seq25_000000.png,19,2859,965,3006,1078,11424,147,113,147,0.6877,0.5988,0.0273,0.0,0.1318,0.2,0.401,91.03,34.07,4.0,0.9841,0.0,0.1556,0.0014,0.3593,Medium,sam
seq25_000000.png,20,2571,1110,2634,1187,3704,63,77,77,0.7636,0.6754,0.004,0.0,0.1095,0.1627,0.3672,115.87,51.69,1.0,0.996,0.0,0.811,0.0004,0.4859,Medium,sam
seq25_000000.png,21,2567,1224,2713,1356,12548,146,132,146,0.6511,0.5467,0.0437,0.0,0.1495,0.2262,0.4122,79.44,41.89,1.0,0.996,0.0,0.2521,0.0015,0.3877,Medium,sam
seq25_000000.png,22,1530,1907,1663,2098,17396,133,191,191,0.6848,0.5741,0.0199,0.0,0.1399,0.2123,0.3825,134.77,39.85,126.86,0.602,0.0,0.0,0.0021,0.2147,Low,sam
seq25_000000.png,23,3760,1719,3840,1813,5581,80,94,94,0.7422,0.6307,0.0405,0.0,0.122,0.1843,0.3897,101.17,29.79,1.4,0.9944,0.0,0.2166,0.0007,0.3734,Medium,sam
seq25_000000.png,24,3335,1802,3583,2158,54067,248,356,356,0.6124,0.4867,0.0424,0.0,0.1734,0.2574,0.4077,107.35,40.29,1.0,0.996,0.0,0.2726,0.0065,0.3971,Medium,sam
seq25_000000.png,25,2064,1320,2158,1415,6467,94,95,95,0.7242,0.6397,0.0116,0.0,0.1193,0.1799,0.4448,67.58,31.7,19.0,0.9268,0.0,0.0153,0.0008,0.3094,Low,sam
seq25_000000.png,26,1705,1315,1850,1494,18105,145,179,179,0.6976,0.578,0.0302,0.0,0.1386,0.2104,0.4476,67.58,37.44,238.3,0.3855,0.0,0.0,0.0022,0.1506,Low,sam
seq25_000000.png,27,3405,1794,3561,1948,15225,156,154,156,0.6337,0.4739,0.0195,0.0,0.1791,0.2642,0.3833,125.01,40.08,1.0,0.996,0.0,0.3683,0.0018,0.4143,Medium,sam
seq25_000000.png,28,1365,1817,1485,1925,8302,120,108,120,0.6406,0.548,0.0325,0.0,0.1491,0.2255,0.4726,91.85,37.07,181.19,0.4844,0.0,0.0,0.001,0.1825,Low,sam
seq26_000000.png,1,1907,32,2001,298,15286,94,266,266,0.6113,0.3985,0.0476,0.0,0.218,0.306,0.3939,121.11,24.81,1.0,0.996,0.0,0.3467,0.0018,0.4191,Medium,sam
seq26_000000.png,2,3275,1082,3425,1344,20598,150,262,262,0.5241,0.3878,0.0772,0.0,0.2244,0.3122,0.3907,108.63,43.23,41.2,0.8481,0.0,0.0,0.0025,0.3094,Low,sam
seq26_000000.png,3,2529,1041,2655,1160,10264,126,119,126,0.6845,0.5967,0.0384,0.0,0.1324,0.201,0.4276,100.37,26.48,1.0,0.996,0.0,0.3795,0.0012,0.4089,Medium,sam
seq26_000000.png,4,2735,1686,2875,1851,14360,140,165,165,0.6216,0.5426,0.0285,0.0,0.1511,0.2283,0.4539,99.95,27.02,1.0,0.996,0.0,0.3873,0.0017,0.4136,Medium,sam
seq26_000000.png,5,2680,1530,2805,1670,10353,125,140,140,0.5916,0.5199,0.0276,0.0,0.1597,0.2399,0.4346,108.45,26.23,1.0,0.996,0.0,0.4148,0.0012,0.4207,Medium,sam
seq26_000000.png,6,3315,1095,3840,1800,205375,525,705,705,0.5549,0.4576,0.0598,0.0048,0.1867,0.2744,0.4004,105.84,28.01,81.0,0.7233,0.0,0.0,0.0248,0.2683,Low,sam
seq27_000000.png,1,3638,1430,4096,1782,117504,458,352,458,0.7289,0.5479,0.0406,0.0,0.1491,0.2256,0.4028,113.97,30.03,196.07,0.4564,0.0,0.0,0.0133,0.1768,Low,sam
seq27_000000.png,2,1130,874,1394,1122,49968,264,248,264,0.7632,0.6249,0.0188,0.0,0.1237,0.1871,0.3954,109.19,32.62,219.58,0.4155,0.0,0.0,0.0056,0.1554,Low,sam
seq27_000000.png,3,1150,1354,1322,1566,26736,172,212,212,0.7332,0.612,0.0401,0.0,0.1276,0.1935,0.4362,107.37,31.79,9.2,0.9639,0.0,0.0298,0.003,0.3286,Low,sam
seq27_000000.png,4,1250,1242,1406,1446,21984,156,204,204,0.6908,0.5909,0.0149,0.0,0.1343,0.204,0.4459,114.14,34.72,7.59,0.9701,0.0,0.0373,0.0025,0.331,Medium,sam
seq27_000000.png,5,1074,1486,1222,1702,21920,148,216,216,0.6857,0.5717,0.0241,0.0,0.1407,0.2135,0.44,119.36,30.31,10.79,0.9578,0.0,0.0571,0.0025,0.3336,Medium,sam
seq27_000000.png,6,2030,246,2282,406,20240,252,160,252,0.502,0.4197,0.0715,0.0,0.206,0.2939,0.3504,142.84,14.27,35.39,0.868,0.0,0.0,0.0023,0.312,Low,sam
seq27_000000.png,7,1474,1010,1626,1178,16928,152,168,168,0.6629,0.5724,0.0087,0.0,0.1405,0.2132,0.4238,113.48,32.54,14.19,0.9448,0.0,0.0255,0.0019,0.3217,Low,sam
seq27_000000.png,8,1326,1178,1474,1346,16832,148,168,168,0.677,0.5713,0.029,0.0,0.1408,0.2137,0.4402,113.59,33.42,10.79,0.9578,0.0,0.0286,0.0019,0.3283,Low,sam
seq27_000000.png,9,1414,1090,1542,1266,14272,128,176,176,0.6335,0.5408,0.0258,0.0,0.1517,0.2292,0.4348,115.42,30.65,12.38,0.9517,0.0,0.0275,0.0016,0.3282,Low,sam
seq27_000000.png,10,1130,1214,1250,1366,14064,120,152,152,0.7711,0.6083,0.0009,0.0,0.1288,0.1953,0.4043,118.71,27.58,163.06,0.5209,0.0,0.0,0.0016,0.1859,Low,sam
seq27_000000.png,11,1558,954,1666,1110,10714,108,156,156,0.6359,0.5386,0.0269,0.0,0.1525,0.2303,0.4091,114.36,36.3,2.2,0.9913,0.0,0.104,0.0012,0.3556,Medium,sam
seq27_000000.png,12,970,1330,1158,1546,27379,188,216,216,0.6742,0.5736,0.0337,0.0,0.1401,0.2126,0.4017,109.28,28.28,154.69,0.5386,0.0,0.0,0.0031,0.1973,Low,sam
seq27_000000.png,13,2054,126,2166,222,8598,112,96,112,0.7997,0.6422,0.0093,0.0,0.1186,0.1787,0.3408,178.13,16.4,208.47,0.4344,0.0,0.0,0.001,0.1582,Low,sam
seq27_000000.png,14,1506,1370,1650,1530,15640,144,160,160,0.6788,0.5855,0.0238,0.0,0.1361,0.2066,0.4007,137.32,32.39,1.0,0.996,0.0,0.2651,0.0018,0.3855,Medium,sam
seq27_000000.png,15,910,1659,1126,1890,32534,216,231,231,0.652,0.5574,0.0215,0.0,0.1457,0.2207,0.4394,119.41,30.56,2.2,0.9913,0.0,0.077,0.0037,0.3486,Medium,sam
seq27_000000.png,16,2430,1198,2606,1550,30189,176,352,352,0.4873,0.5622,0.023,0.0,0.144,0.2183,0.4201,118.65,39.57,1.0,0.996,0.0,0.2142,0.0034,0.3772,Medium,sam
seq27_000000.png,17,946,1330,1150,1598,32915,204,268,268,0.602,0.4281,0.0648,0.0,0.2015,0.2892,0.3978,106.3,28.58,157.1,0.5334,0.0,0.0,0.0037,0.2104,Low,sam
seq27_000000.png,18,2498,2034,2706,2160,17928,208,126,208,0.6841,0.5521,0.0614,0.0,0.1476,0.2234,0.4401,146.64,34.2,19.0,0.9268,0.0,0.0076,0.002,0.3195,Low,sam
seq27_000000.png,19,1098,2016,1342,2160,27527,244,144,244,0.7834,0.5995,0.0347,0.0,0.1315,0.1997,0.4199,131.95,24.85,1.0,0.996,0.0,0.2377,0.0031,0.3802,Medium,sam
seq27_000000.png,20,2446,1754,2694,2070,52203,248,316,316,0.6661,0.5658,0.0166,0.0,0.1427,0.2165,0.4349,124.83,36.61,1.0,0.996,0.0,0.1117,0.0059,0.3562,Medium,sam
seq27_000000.png,21,2450,1398,2619,1586,23451,169,188,188,0.7381,0.6415,0.0148,0.0,0.1188,0.1791,0.4263,128.65,31.46,3.0,0.9881,0.0,0.1302,0.0027,0.3512,Medium,sam
seq27_000000.png,22,2427,1574,2640,1782,32292,213,208,213,0.7289,0.5726,0.0267,0.0,0.1404,0.2131,0.4313,124.28,32.5,1.0,0.996,0.0,0.1696,0.0036,0.3679,Medium,sam
seq27_000000.png,23,1366,1590,1546,1786,24899,180,196,196,0.7058,0.6137,0.0059,0.0,0.1271,0.1926,0.4261,117.73,31.99,1.0,0.996,0.0,0.266,0.0028,0.3819,Medium,sam
seq27_000000.png,24,1578,1323,1694,1418,6907,116,95,116,0.6268,0.5445,0.0317,0.0,0.1503,0.2273,0.4043,133.96,36.11,1.0,0.996,0.0,0.6233,0.0008,0.4608,Medium,sam
seq27_000000.png,25,2160,1378,2302,1522,15840,142,144,144,0.7746,0.6437,0.022,0.0,0.1182,0.178,0.409,138.82,27.59,1.0,0.996,0.0,0.4981,0.0018,0.4276,Medium,sam
seq27_000000.png,26,2470,946,2562,1122,11064,92,176,176,0.6833,0.5008,0.0271,0.0,0.1674,0.2499,0.3766,150.88,28.79,1.0,0.996,0.0,0.4004,0.0013,0.4193,Medium,sam
seq27_000000.png,27,1282,1776,1482,2082,34301,200,306,306,0.5605,0.4419,0.0391,0.0,0.1944,0.2815,0.3983,123.4,24.46,1.0,0.996,0.0,0.3545,0.0039,0.4164,Medium,sam
seq27_000000.png,28,2416,194,2526,331,12172,110,137,137,0.8077,0.6786,0.0193,0.0,0.1086,0.1611,0.3472,165.54,27.45,1.0,0.996,0.0,0.3181,0.0014,0.3887,Medium,sam
seq27_000000.png,29,2690,1806,2854,2011,18323,164,205,205,0.545,0.3524,0.0605,0.0,0.2477,0.3334,0.3875,108.12,23.64,214.37,0.4242,0.0,0.0,0.0021,0.1836,Low,sam
seq27_000000.png,30,2272,918,2386,1046,8908,114,128,128,0.6105,0.4765,0.0401,0.0,0.1779,0.2628,0.3811,147.95,26.54,1.0,0.996,0.0,0.6617,0.001,0.4747,Medium,sam
seq28_000000.png,1,1422,1126,1638,1474,56464,216,348,348,0.7512,0.4854,0.0145,0.0,0.174,0.258,0.4021,132.31,35.67,169.83,0.507,0.0,0.0,0.0064,0.1932,Low,sam
seq28_000000.png,2,2678,1090,2854,1318,26272,176,228,228,0.6547,0.5593,0.0266,0.0,0.145,0.2198,0.4014,150.1,37.47,1.0,0.996,0.0,0.1273,0.003,0.3603,Medium,sam
seq28_000000.png,3,2838,1074,3006,1270,24112,168,196,196,0.7323,0.631,0.0139,0.0,0.1219,0.1842,0.3921,144.53,36.31,141.05,0.5688,0.0,0.0,0.0027,0.2001,Low,sam
seq28_000000.png,4,2258,670,2430,934,32362,172,264,264,0.7127,0.5879,0.0168,0.0,0.1353,0.2054,0.37,150.13,30.42,1.0,0.996,0.0,0.1147,0.0037,0.3548,Medium,sam
seq28_000000.png,5,2830,882,2974,974,10392,144,92,144,0.7844,0.6321,0.0293,0.0,0.1216,0.1836,0.3741,159.1,30.73,225.78,0.4053,0.0,0.0,0.0012,0.1522,Low,sam
seq28_000000.png,6,2174,478,2302,638,14925,128,160,160,0.7288,0.6193,0.0107,0.0,0.1254,0.1899,0.3663,168.91,32.57,1.0,0.996,0.0,0.1769,0.0017,0.364,Medium,sam
seq28_000000.png,7,2882,1542,3058,1758,26661,176,216,216,0.7013,0.5967,0.0097,0.0,0.1324,0.2011,0.411,162.23,31.83,1.0,0.996,0.0,0.187,0.003,0.3678,Medium,sam
seq28_000000.png,8,2774,1318,2930,1442,14255,156,124,156,0.7369,0.6157,0.0191,0.0,0.1265,0.1917,0.4169,155.79,34.74,1.0,0.996,0.0,0.1046,0.0016,0.3506,Medium,sam
seq28_000000.png,9,2818,1422,3058,1758,46404,240,336,336,0.5754,0.4449,0.0168,0.0007,0.1929,0.2801,0.4123,158.35,33.62,1.0,0.996,0.0,0.2445,0.0052,0.3922,Medium,sam
seq28_000000.png,10,2955,1790,3266,2158,88908,311,368,368,0.7768,0.6047,0.0021,0.0,0.1299,0.1971,0.4053,137.25,41.89,1.0,0.996,0.0,0.1153,0.01,0.3531,Medium,sam
seq28_000000.png,11,2816,1418,2994,1618,21226,178,200,200,0.5962,0.5199,0.0174,0.0,0.1597,0.2399,0.4134,153.76,35.89,1.0,0.996,0.0,0.3262,0.0024,0.4021,Medium,sam
seq28_000000.png,12,2746,1238,2926,1442,24967,180,204,204,0.6799,0.5868,0.0054,0.0,0.1356,0.206,0.4153,158.93,34.86,1.0,0.996,0.0,0.1299,0.0028,0.3566,Medium,sam
seq28_000000.png,13,3146,2080,3342,2160,10106,196,80,196,0.6445,0.4311,0.054,0.0,0.1999,0.2875,0.4142,161.34,27.97,101.0,0.6676,0.0,0.0,0.0011,0.249,Low,sam
seq28_000000.png,14,2554,662,2782,854,25782,228,192,228,0.589,0.4651,0.0394,0.0,0.1832,0.2689,0.3563,149.69,32.28,80.29,0.7253,0.0,0.0,0.0029,0.2623,Low,sam
seq28_000000.png,15,2786,742,2986,902,22585,200,160,200,0.7058,0.5822,0.0271,0.0,0.1372,0.2083,0.3651,146.58,32.69,216.01,0.4215,0.0,0.0,0.0026,0.1608,Low,sam
